# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 70.54905 88.001185 0.0
# Box Maximum: 141.0981 176.00237 65.28425
# <6607>
# ID	Position (x y z)	Area	type
234	77.8483 175.83038 53.31024	rh.frontalpole	ex
235	71.71081 165.87599 38.1405	rh.frontalpole	ex
236	75.60033 168.53211 37.84138	rh.frontalpole	ex
237	73.81056 134.94994 26.10663	rh.medialorbitofrontal	ex
238	72.61396 152.41261 25.86779	rh.medialorbitofrontal	ex
239	72.0043 155.29162 53.16511	rh.medialorbitofrontal	ex
240	70.73833 153.29046 50.7242	rh.medialorbitofrontal	ex
241	74.277 154.25304 26.73736	rh.medialorbitofrontal	ex
242	73.9188 152.71186 25.82348	rh.medialorbitofrontal	ex
243	73.19084 155.4355 27.74308	rh.medialorbitofrontal	ex
244	101.71558 100.36601 11.53295	rh.entorhinal	ex
245	103.25446 98.66593 13.81042	rh.fusiform	ex
246	111.78829 120.87436 17.52784	rh.superiortemporal	ex
247	79.42339 124.95187 27.55121	rh.lateralorbitofrontal	ex
248	80.75545 127.09468 27.08842	rh.lateralorbitofrontal	ex
249	81.29084 132.62745 26.00021	rh.lateralorbitofrontal	ex
250	80.29224 134.16547 25.43472	rh.lateralorbitofrontal	ex
251	79.74719 154.94606 26.41256	rh.lateralorbitofrontal	ex
252	79.13647 156.59702 27.02476	rh.lateralorbitofrontal	ex
253	78.42728 159.06425 27.69084	rh.lateralorbitofrontal	ex
254	79.419 157.86373 27.22961	rh.lateralorbitofrontal	ex
255	79.25105 160.74113 28.0133	rh.lateralorbitofrontal	ex
256	80.50573 160.95928 28.014	rh.lateralorbitofrontal	ex
257	81.32971 165.75607 31.48489	rh.lateralorbitofrontal	ex
258	80.24878 163.73007 30.01738	rh.lateralorbitofrontal	ex
259	78.866 163.30343 29.39364	rh.lateralorbitofrontal	ex
260	73.61418 128.27702 27.83955	rh.medialorbitofrontal	ex
261	75.48438 128.57716 27.76854	rh.medialorbitofrontal	ex
262	75.77738 129.95834 27.43224	rh.medialorbitofrontal	ex
263	74.08176 143.30615 22.69926	rh.medialorbitofrontal	ex
264	75.80098 147.6023 23.85739	rh.medialorbitofrontal	ex
265	75.96514 149.41286 24.41126	rh.medialorbitofrontal	ex
266	73.86054 147.30606 24.11591	rh.medialorbitofrontal	ex
267	76.22051 150.91684 25.17237	rh.medialorbitofrontal	ex
268	74.09496 149.71174 24.25304	rh.medialorbitofrontal	ex
269	72.55048 154.5208 39.95051	rh.medialorbitofrontal	ex
270	73.67525 139.33967 24.36471	rh.medialorbitofrontal	ex
271	73.182 137.28411 25.6746	rh.medialorbitofrontal	ex
272	74.24864 131.02771 26.89032	rh.medialorbitofrontal	ex
273	83.09424 164.77682 32.06107	rh.rostralmiddlefrontal	ex
274	91.91285 122.35336 12.6647	rh.temporalpole	ex
275	90.70118 120.13326 14.35897	rh.temporalpole	ex
276	70.58618 151.28943 42.5311	lh.medialorbitofrontal	ex
277	73.60773 149.59428 45.61359	rh.medialorbitofrontal	ex
278	73.41978 149.28276 45.01406	rh.medialorbitofrontal	ex
279	73.3662 150.66906 45.92503	rh.medialorbitofrontal	ex
280	76.51052 162.03203 30.19727	rh.lateralorbitofrontal	ex
281	71.88966 157.58541 29.98827	rh.medialorbitofrontal	ex
282	71.35197 158.38758 30.85516	rh.medialorbitofrontal	ex
283	124.16894 122.57713 35.06231	rh.superiortemporal	ex
284	121.56328 123.80457 34.1815	rh.superiortemporal	ex
285	80.47121 167.24698 32.2827	rh.frontalpole	ex
286	81.41348 168.6745 34.4401	rh.frontalpole	ex
287	72.4922 170.08693 40.78246	rh.frontalpole	ex
288	71.12818 115.96903 61.90281	rh.caudalanteriorcingulate	ex
289	70.92878 117.37512 61.30366	rh.caudalanteriorcingulate	ex
290	70.87734 113.49763 62.25372	lh.medialorbitofrontal	ex
291	71.15572 116.42329 61.33351	lh.medialorbitofrontal	ex
292	70.75087 113.8171 63.34877	rh.caudalanteriorcingulate	ex
293	71.17035 114.6392 61.81492	rh.caudalanteriorcingulate	ex
294	70.62011 112.36384 62.89072	rh.caudalanteriorcingulate	ex
295	70.73655 110.06195 59.43304	rh.insula	ex
296	72.34292 137.07028 57.59747	rh.rostralanteriorcingulate	ex
297	74.95547 140.73609 59.32528	rh.rostralanteriorcingulate	ex
298	70.71011 131.66312 62.69199	rh.rostralanteriorcingulate	ex
299	71.18925 132.91494 60.83514	rh.rostralanteriorcingulate	ex
300	71.23301 114.60413 61.37247	lh.medialorbitofrontal	ex
301	71.91996 137.02757 60.47588	rh.rostralanteriorcingulate	ex
302	70.83263 111.50399 58.6826	lh.medialorbitofrontal	ex
303	71.66191 135.37231 58.83435	rh.rostralanteriorcingulate	ex
304	70.70379 111.81873 61.48108	lh.medialorbitofrontal	ex
305	71.11789 112.944 57.25351	lh.medialorbitofrontal	ex
306	70.61838 112.67817 55.90988	lh.medialorbitofrontal	ex
307	70.8841 134.90475 63.24292	rh.rostralanteriorcingulate	ex
308	71.23966 134.49816 60.36008	rh.rostralanteriorcingulate	ex
309	71.34553 113.81606 59.91184	lh.medialorbitofrontal	ex
310	71.39131 114.80921 57.58761	lh.medialorbitofrontal	ex
311	70.76309 130.45811 63.80824	rh.caudalanteriorcingulate	ex
