# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 88.001185 0.0
# Box Maximum: 70.54905 176.00237 65.28425
# <6683>
# ID	Position (x y z)	Area	type
163	61.66153 167.07985 41.04636	lh.frontalpole	ex
164	69.47271 157.47264 37.15721	lh.medialorbitofrontal	ex
165	20.76592 134.11634 42.20411	lh.parsorbitalis	ex
166	19.02386 138.731 42.60974	lh.parsorbitalis	ex
167	19.6778 139.36519 41.15313	lh.parsorbitalis	ex
168	20.40257 138.3237 40.16844	lh.parsorbitalis	ex
169	18.67685 139.71675 43.49339	lh.parsorbitalis	ex
170	70.08759 156.76883 43.92648	rh.medialorbitofrontal	ex
171	21.54751 90.73048 61.23756	lh.postcentral	ex
172	23.04224 91.29427 61.05777	lh.postcentral	ex
173	25.83898 90.39536 59.59551	lh.transversetemporal	ex
174	28.59588 89.69039 59.33281	lh.insula	ex
175	27.80295 94.6197 62.6428	lh.postcentral	ex
176	25.5852 93.92741 50.44302	lh.superiortemporal	ex
177	25.29464 95.39395 51.0862	lh.superiortemporal	ex
178	24.88776 96.0276 52.13579	lh.superiortemporal	ex
179	29.95369 93.19031 63.47786	lh.insula	ex
180	29.44811 88.19539 59.97514	lh.insula	ex
181	30.94097 100.0351 62.59506	lh.insula	ex
182	40.29598 88.64994 12.07737	lh.fusiform	ex
183	28.89897 104.42304 35.60417	lh.insula	ex
184	31.41653 107.41797 34.33646	lh.insula	ex
185	16.51428 93.87684 35.05215	lh.superiortemporal	ex
186	29.29178 106.7008 34.29575	lh.superiortemporal	ex
187	24.3343 102.01357 16.88841	lh.inferiortemporal	ex
188	11.97021 93.84359 13.94067	lh.inferiortemporal	ex
189	18.76579 97.09563 18.3711	lh.inferiortemporal	ex
190	17.06112 96.37634 18.61222	lh.inferiortemporal	ex
191	24.84006 102.8068 15.44037	lh.inferiortemporal	ex
192	30.55386 107.34777 34.0861	lh.insula	ex
193	18.00743 97.25557 17.88173	lh.middletemporal	ex
194	21.2978 96.37344 19.46856	lh.middletemporal	ex
195	12.3744 98.24492 62.49911	lh.postcentral	ex
196	32.15877 104.67382 59.03046	lh.precentral	ex
197	25.04199 125.74223 34.23287	lh.superiortemporal	ex
198	24.86934 126.36872 32.61085	lh.superiortemporal	ex
199	49.54196 88.66773 32.59948	lh.entorhinal	ex
200	46.18266 88.21727 32.16169	lh.entorhinal	ex
201	47.58876 89.06276 32.42996	lh.entorhinal	ex
202	44.39132 88.63159 32.0205	lh.entorhinal	ex
203	49.58523 89.16371 18.09993	lh.entorhinal	ex
204	47.84586 91.0558 15.25886	lh.entorhinal	ex
205	60.75365 88.52823 31.41642	lh.entorhinal	ex
206	55.3977 88.03614 26.18328	lh.entorhinal	ex
207	45.83147 89.12755 15.84659	lh.entorhinal	ex
208	50.05989 90.27025 32.03201	lh.parahippocampal	ex
209	47.34072 90.2597 31.87024	lh.entorhinal	ex
210	44.00929 89.90237 31.63839	lh.entorhinal	ex
211	42.02055 89.44623 30.98932	lh.fusiform	ex
212	45.28421 91.2863 30.62447	lh.medialorbitofrontal	ex
213	47.21526 89.75559 15.80479	lh.entorhinal	ex
214	45.74522 92.42847 13.54022	lh.entorhinal	ex
215	53.50391 94.28606 18.7278	lh.entorhinal	ex
216	53.2549 97.42133 17.5822	lh.entorhinal	ex
217	52.28424 96.15214 16.57731	lh.entorhinal	ex
218	51.60118 96.78218 15.39472	lh.entorhinal	ex
219	51.66311 98.3562 15.88349	lh.entorhinal	ex
220	41.88925 89.53638 12.71541	lh.fusiform	ex
221	42.78532 91.67168 11.9031	lh.fusiform	ex
222	42.80883 94.01065 9.78694	lh.fusiform	ex
223	55.38144 89.52117 24.26342	lh.entorhinal	ex
224	53.02133 88.07255 21.39558	lh.entorhinal	ex
225	52.79107 89.25445 20.59615	lh.entorhinal	ex
226	55.72264 91.07183 22.87462	lh.entorhinal	ex
227	53.53573 90.31153 20.63021	lh.entorhinal	ex
228	56.03031 92.46206 22.18132	lh.entorhinal	ex
229	55.20999 91.91843 20.76765	lh.entorhinal	ex
230	53.84444 91.70175 19.93692	lh.entorhinal	ex
231	50.83138 90.8366 18.39898	lh.entorhinal	ex
232	51.52961 92.03294 18.36554	lh.entorhinal	ex
233	47.21346 92.07921 14.11654	lh.entorhinal	ex
234	47.90773 94.53772 12.84477	lh.entorhinal	ex
235	49.53448 96.63101 13.5281	lh.entorhinal	ex
236	67.52602 89.0635 36.34269	lh.medialorbitofrontal	ex
237	53.7248 88.28684 37.50001	lh.entorhinal	ex
238	65.22593 88.2861 32.54287	lh.entorhinal	ex
239	48.72344 91.05796 31.63274	lh.parahippocampal	ex
240	46.53613 91.29163 30.92916	lh.parahippocampal	ex
241	55.82291 89.4151 26.06216	lh.entorhinal	ex
242	54.90233 90.5282 21.46096	lh.entorhinal	ex
243	55.80143 91.08103 24.38809	lh.entorhinal	ex
244	37.75843 88.3133 20.43588	lh.entorhinal	ex
245	49.56884 101.30913 11.67024	lh.entorhinal	ex
246	36.85082 88.05931 10.00501	lh.fusiform	ex
247	39.57335 89.86343 10.89509	lh.fusiform	ex
248	43.88335 95.25783 9.90517	lh.fusiform	ex
249	66.76211 89.34419 34.72286	lh.entorhinal	ex
250	65.10407 90.01825 32.4323	lh.entorhinal	ex
251	62.46879 88.89396 31.53414	lh.entorhinal	ex
252	60.20354 89.68904 31.54481	lh.entorhinal	ex
253	51.23231 90.50169 31.73456	lh.entorhinal	ex
254	51.59979 91.88374 31.04518	lh.entorhinal	ex
255	52.60654 89.17974 31.52725	lh.parahippocampal	ex
256	47.9199 92.0899 30.69281	lh.entorhinal	ex
257	48.29484 93.31367 29.80148	lh.medialorbitofrontal	ex
258	42.05904 88.09814 17.9966	lh.entorhinal	ex
259	39.63952 89.1972 18.8381	lh.entorhinal	ex
260	43.38735 88.05235 17.36835	lh.entorhinal	ex
261	46.21922 94.06047 12.85171	lh.entorhinal	ex
262	43.38109 92.77366 12.6386	lh.fusiform	ex
263	50.14522 89.64821 39.9716	lh.entorhinal	ex
264	51.75784 90.25346 39.6908	lh.entorhinal	ex
265	48.56746 90.30451 40.37406	lh.entorhinal	ex
266	50.36025 88.0214 39.5046	lh.parahippocampal	ex
267	46.89804 89.85768 40.16925	lh.entorhinal	ex
268	45.7162 90.6852 40.43911	lh.medialorbitofrontal	ex
269	47.35607 88.47315 39.76289	lh.parahippocampal	ex
270	52.66902 88.4212 38.54922	lh.entorhinal	ex
271	52.77192 89.82277 39.04928	lh.entorhinal	ex
272	54.48891 89.43533 37.30739	lh.entorhinal	ex
273	53.96078 90.34064 38.25385	lh.entorhinal	ex
274	55.38658 89.37978 36.00301	lh.parahippocampal	ex
275	53.78471 90.01782 30.55111	lh.entorhinal	ex
276	54.8343 89.55134 29.34796	lh.entorhinal	ex
277	53.34845 91.52849 30.47381	lh.entorhinal	ex
278	55.60956 90.45091 27.9558	lh.entorhinal	ex
279	54.80992 88.10525 28.44099	lh.parahippocampal	ex
280	51.12372 93.23238 30.25075	lh.entorhinal	ex
281	35.83087 89.31452 21.9782	lh.entorhinal	ex
282	38.46035 89.77139 19.52259	lh.entorhinal	ex
283	51.30062 88.52491 19.68227	lh.entorhinal	ex
284	48.45311 88.6456 17.68377	lh.entorhinal	ex
285	40.26946 92.27669 9.3239	lh.fusiform	ex
286	44.51199 91.69162 14.37347	lh.entorhinal	ex
287	40.52502 91.46449 10.46314	lh.fusiform	ex
288	43.39182 89.67069 16.36836	lh.entorhinal	ex
289	40.88057 89.66229 17.96789	lh.entorhinal	ex
290	51.88624 91.87829 39.87688	lh.medialorbitofrontal	ex
291	48.78982 91.48373 40.62387	lh.medialorbitofrontal	ex
292	54.40607 91.56539 38.32625	lh.entorhinal	ex
293	56.0343 90.5601 36.01651	lh.entorhinal	ex
294	57.13352 90.83901 34.74607	lh.entorhinal	ex
295	55.58192 91.84041 37.3933	lh.entorhinal	ex
296	66.00984 90.74869 33.92129	lh.entorhinal	ex
297	57.14643 89.6561 33.32677	lh.entorhinal	ex
298	57.96486 92.16937 35.36085	lh.entorhinal	ex
299	58.01208 89.16571 32.32267	lh.entorhinal	ex
300	55.91413 88.72388 34.34344	lh.parahippocampal	ex
301	63.27303 91.71223 32.14845	lh.entorhinal	ex
302	61.5917 91.46964 31.9606	lh.entorhinal	ex
303	59.13092 90.09619 32.23099	lh.entorhinal	ex
304	54.1907 92.91901 29.58682	lh.entorhinal	ex
305	55.74836 91.70682 28.13244	lh.entorhinal	ex
306	49.79474 93.86205 29.65065	lh.entorhinal	ex
307	52.90757 94.01718 29.41973	lh.entorhinal	ex
308	49.91477 95.48741 28.74511	lh.medialorbitofrontal	ex
309	50.6304 89.19729 19.11577	lh.entorhinal	ex
310	38.12603 91.46599 19.09947	lh.entorhinal	ex
311	49.7862 90.80303 17.38314	lh.entorhinal	ex
