# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 0.0 0.0
# Box Maximum: 70.54905 88.001185 65.28425
# <5802>
# ID	Position (x y z)	Area	type
218	6.01768 63.05975 61.83501	lh.bankssts	ex
219	10.55529 61.56835 61.88897	lh.bankssts	ex
220	12.61236 61.15033 61.20439	lh.bankssts	ex
221	10.42485 61.35024 60.49196	lh.bankssts	ex
222	8.30244 62.0824 61.50557	lh.bankssts	ex
223	8.85521 61.78098 59.98772	lh.bankssts	ex
224	5.40125 63.41731 61.08639	lh.bankssts	ex
225	5.68864 63.69605 59.0723	lh.bankssts	ex
226	4.02526 64.62105 61.42086	lh.superiortemporal	ex
227	15.1819 61.42124 59.19533	lh.bankssts	ex
228	11.59859 61.09848 59.89343	lh.bankssts	ex
229	11.79605 61.09515 58.3948	lh.bankssts	ex
230	8.74255 62.07776 58.46509	lh.bankssts	ex
231	6.71268 63.87382 57.66922	lh.bankssts	ex
232	4.56482 64.73868 58.691	lh.bankssts	ex
233	13.87396 61.00171 57.87705	lh.bankssts	ex
234	10.50861 61.64478 57.47079	lh.bankssts	ex
235	8.0317 63.1539 57.50625	lh.bankssts	ex
236	11.03965 62.45036 56.0014	lh.bankssts	ex
237	9.57086 63.58789 55.74996	lh.bankssts	ex
238	6.49129 65.65577 55.9279	lh.middletemporal	ex
239	12.46488 62.45323 55.29918	lh.bankssts	ex
240	12.93732 63.99864 54.39784	lh.bankssts	ex
241	10.00568 64.81527 55.19357	lh.bankssts	ex
242	14.75641 66.28819 54.215	lh.bankssts	ex
243	11.94691 65.22424 54.54354	lh.bankssts	ex
244	12.78856 71.42525 53.22342	lh.bankssts	ex
245	14.36528 71.29971 53.69881	lh.bankssts	ex
246	4.47729 65.72431 57.07556	lh.bankssts	ex
247	3.67251 65.16383 59.92565	lh.superiortemporal	ex
248	12.28168 66.76237 54.9991	lh.bankssts	ex
249	9.10098 66.14724 55.27238	lh.bankssts	ex
250	18.48483 66.98933 53.28667	lh.bankssts	ex
251	22.28642 49.75282 55.35613	lh.middletemporal	ex
252	13.79902 81.47457 60.15377	lh.superiortemporal	ex
253	9.59508 83.6369 64.92168	lh.superiortemporal	ex
254	17.09152 85.50252 60.12267	lh.superiortemporal	ex
255	19.25646 84.50918 59.73043	lh.transversetemporal	ex
256	17.4908 85.88356 60.22038	lh.transversetemporal	ex
257	7.60839 66.64205 55.15061	lh.middletemporal	ex
258	3.31233 66.56357 57.34438	lh.bankssts	ex
259	5.37972 66.46363 55.71565	lh.middletemporal	ex
260	2.89646 67.44214 56.37266	lh.bankssts	ex
261	2.74961 66.25707 59.13681	lh.superiortemporal	ex
262	17.97608 68.14986 54.01089	lh.bankssts	ex
263	11.83271 71.57535 52.03254	lh.middletemporal	ex
264	17.64163 72.62806 53.08494	lh.bankssts	ex
265	17.80819 73.95525 52.22407	lh.bankssts	ex
266	10.50614 62.01243 36.02816	lh.inferiortemporal	ex
267	8.12261 63.50493 35.3902	lh.inferiortemporal	ex
268	6.54362 69.58142 38.77817	lh.inferiortemporal	ex
269	6.2027 69.12949 39.79909	lh.inferiortemporal	ex
270	20.01145 70.67512 31.18666	lh.inferiortemporal	ex
271	7.85639 72.3691 36.20683	lh.inferiortemporal	ex
272	12.75515 79.21129 21.8091	lh.inferiortemporal	ex
273	10.71148 78.46751 47.03397	lh.middletemporal	ex
274	2.18524 80.78486 27.22753	lh.middletemporal	ex
275	17.24255 77.52204 48.7029	lh.superiortemporal	ex
276	23.87502 79.87032 58.93748	lh.superiortemporal	ex
277	14.58338 83.11806 42.07302	lh.superiortemporal	ex
278	26.30308 77.5868 63.07879	lh.transversetemporal	ex
279	23.51867 80.00218 60.88552	lh.transversetemporal	ex
280	26.27883 77.56719 62.21265	lh.transversetemporal	ex
281	17.38269 71.48045 53.53586	lh.bankssts	ex
282	8.92007 68.72904 54.25242	lh.bankssts	ex
283	3.64731 68.64866 54.84052	lh.bankssts	ex
284	1.90794 68.63099 56.5269	lh.superiortemporal	ex
285	18.58038 69.26875 53.95253	lh.bankssts	ex
286	15.56062 72.20019 53.22422	lh.bankssts	ex
287	18.56934 72.3323 52.8705	lh.bankssts	ex
288	19.04769 73.28572 52.03904	lh.bankssts	ex
289	18.42096 71.75769 53.2949	lh.bankssts	ex
290	15.48564 73.88094 52.27316	lh.middletemporal	ex
291	9.32151 78.56498 47.79527	lh.middletemporal	ex
292	7.85621 79.23206 47.4884	lh.middletemporal	ex
293	7.47784 68.34005 54.22161	lh.bankssts	ex
294	5.94768 69.39953 53.73561	lh.bankssts	ex
295	4.96666 68.51048 54.45234	lh.bankssts	ex
296	6.37998 71.08158 52.87367	lh.bankssts	ex
297	2.65983 69.83751 54.99477	lh.bankssts	ex
298	24.70239 55.36934 41.55864	lh.fusiform	ex
299	27.02659 59.39736 40.10982	lh.fusiform	ex
300	26.65453 45.40329 59.06563	lh.inferiorparietal	ex
301	23.21177 54.44357 42.27118	lh.inferiortemporal	ex
302	25.00819 56.6225 40.38159	lh.inferiortemporal	ex
303	22.04626 60.77891 36.62274	lh.inferiortemporal	ex
304	14.48898 77.09367 24.32113	lh.inferiortemporal	ex
305	3.47851 80.50079 26.65642	lh.middletemporal	ex
306	13.53426 87.62353 26.71122	lh.middletemporal	ex
307	13.84712 87.95569 26.87568	lh.middletemporal	ex
308	41.2838 69.43493 47.39015	lh.parahippocampal	ex
309	38.09808 73.23062 44.8676	lh.parahippocampal	ex
310	17.45711 77.9101 45.39483	lh.superiortemporal	ex
311	23.89542 78.74316 65.02315	lh.superiortemporal	ex
312	23.24592 80.57398 59.42792	lh.superiortemporal	ex
313	12.82948 74.57185 52.27954	lh.middletemporal	ex
314	23.01733 80.12583 63.08986	lh.superiortemporal	ex
315	15.75814 70.46315 54.39188	lh.bankssts	ex
316	4.66627 76.10021 26.23671	lh.inferiortemporal	ex
317	15.11271 76.55193 25.21329	lh.inferiortemporal	ex
318	7.44431 76.27217 20.77492	lh.inferiortemporal	ex
319	10.49677 79.1339 17.16713	lh.inferiortemporal	ex
320	10.49219 79.76528 15.68958	lh.inferiortemporal	ex
321	15.44169 82.93499 31.02003	lh.inferiortemporal	ex
322	17.62407 77.21933 48.87915	lh.middletemporal	ex
323	16.4043 77.49856 49.01429	lh.middletemporal	ex
324	4.95498 74.3458 30.32298	lh.middletemporal	ex
325	17.28815 76.72484 50.01689	lh.middletemporal	ex
326	8.19324 78.08132 29.36548	lh.middletemporal	ex
327	16.3387 83.82682 30.86919	lh.middletemporal	ex
328	13.58174 85.55152 65.08534	lh.postcentral	ex
329	16.48968 80.95645 65.06764	lh.superiortemporal	ex
330	13.92083 81.14002 64.6832	lh.superiortemporal	ex
331	12.79532 81.89885 63.99175	lh.superiortemporal	ex
332	22.11083 82.18519 58.02473	lh.superiortemporal	ex
